No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
371,Tumis Bakso Kacang Panjang,bakso,"Punya stok kacang panjang dan sedikit bakso di kulkas? Jangan bingung, langsung eksekusi jadi tumisan pedas manis seperti ini. Cocok banget buat yang lagi buru-buru tapi tetap ingin makan enak. Cukup dinikmati pakai nasi hangat, rasanya sudah bikin nagih!...","1 ikat kecil kacang panjang (potong-potong sekitar 3 cm) | 5-10 btr bakso sapi (iris bulat atau sesuai selera) | 1 bh cabai merah besar (iris serong) | 5 bh cabai rawit (opsional, jika suka pedas ) | 2 siung bawang putih ( iris tipis ) | 3 butir bawang merah ( iris tipis ) | 1 sdm saus tiram | 1 sdm kecap manis | secukupnya Garam, gula, dan kaldu bubuk | 50 ml air | 2 sdm minyak untuk menumis",11,"Siapkan bahan, cuci bersih kacang panjang. || Tumis bumbu: Panaskan minyak, tumis bawang merah dan bawang putih hingga harum dan mulai kecokelatan. Masukkan irisan cabai merah dan cabai rawit, tumis hingga layu. Masukkan irisan bakso, aduk rata sebentar hingga bakso agak berubah warna. || Masukkan kacang panjang, aduk kembali. Tambahkan sedikit air agar bumbu meresap dan kacang panjang cepat matang (tapi tetap crunchy). || Tambahkan saus tiram, kecap manis, garam, gula, dan kaldu bubuk. Aduk rata dan lakukan tes rasa. Masak hingga air menyusut dan bumbu meresap sempurna. Angkat dan sajikan.",4,,,Dapoer_Bia,"Malang «-» Surabaya, Indonesia",https://cookpad.com/id/resep/15824966
372,Tahu Daging Bakso,bakso,"Punya stok kornet dan tahu di dapur? Jangan cuma digoreng terpisah! Yuk, kita bikin (Tahu Isi Kornet Sapi). Modal ekonomis, tapi rasanya bintang lima. Luarnya ""crunchy"", dalamnya gurih lumer. Cocok banget buat stok lauk atau camilan sore! #olahantahunana #dapurnana...",5 potong tahu | 1 butir telur bebek (jika menggunakan telur ayam gunakan 2 butir) | kaleng daging | 1 daun bawang | garam | masako sapi (bisa juga ayam ) | lada | tepung,8,"Hancurkan tahu (jangan gunakan blender) || Masukkan telur || Masukkan daging kaleng 2sdm, masukkan garam, lada, dan masako sesuai selera dan tambahkan 4/5sdm tepung terigu || Iris tipis daun bawang || Goreng di api kecil hingga berwarna coklat agak ke'emasan",5,40 menit,,nanaaachiii,kota Makassar,https://cookpad.com/id/resep/25727429
373,Tumis Sawi Dengan Bakso,bakso,Bismillah Makan nasi tanpa sayur kayaknya ada sesuatu yang kurang. Apalagi kalau ditumis sawi dengan bakso makin maknyus #CookpadApron2026 #MasakSayurYuk #CookpadCommunity_Sumut #Horas_MigomakMasakSayurYuk,1 bh sawi putih ukuran sedang | 10 bh bakso ayam belah 2 | 4 siung bawang merah iris | 2 siung bawang putih iris | 1 bh tomat iris | 3 bh cabe hijau iris | 2 bh cabe merah iris | 1 tangkai daun bawang iris | 1/2 sdt garam | 1 sdm Saus Tiram,10,"Panaskan minyak dalam wajan secukupnya, tumis bawang merah putih hingga harum, masukkan cabe dan tomat, oseng oseng, masukkan bakso dan sawi yang sudah dipotong dan dicuci bersih. Aduk aduk || Beri garam dan saus tiram, oseng oseng, masukkan daun bawang iris, aduk rata, tes rasa. || Sajikan. Enak..",3,20 menit,1 porsi,Eka Muliana,Banda aceh,https://cookpad.com/id/resep/24649295
374,Sayur Sop Dengan Bakso Dan Sosis Bumbu Racik,bakso,#CookpadApron2026 #MasakSayurYuk Masak sat set buat makan siang anakku yang pulang sekolah,2 batang wortel ukuran sedang | 5 buah buncis | 3 kelopak kol / kubis | 3 buah sosis merah (khusus rebus) | 5 buah bakso urat kecil | Secukupnya daun bawang dan seledri | 1000 ml air bersih | Bumbu: | 1 bungkus Racik Bumbu Sayur SOP,9,"Rebus air sampai mendidih. Sambil menunggu mendidih, siangi wortel, buncis, kol dan iris bakso juga sosis. || Setelah air mendidih, yang pertama dimasukkan adalah wortel. Masak -+ 5 menit. Lalu baru masukkan buncis dan kol. Masak lagi -+ 5 menit lalu masukkan Bumbu Racik. Saya pakai setengah bungkus saja. || Terakhir masukkan bakso, sosis dan daun bawang seledri. Tunggu -+ 3 menit sampai bakso dan sosis tanak. Matikan api, siap dihidangkan.",3,20 menit,,Rika,"Bogor, Indonesia",https://cookpad.com/id/resep/25608854
375,Tumis Kale Bakso,bakso,Masih punya kale hasil panenan yang harus diberdayakan. Bikin tumisan yang simple & sat set aja deh.. 😁 #PoodyKitchen #CookpadApron2026 #MasakSayurYuk #ComboNgabibita_NgolahSayur #CookpadCommunity_Bogor,"15 lembar Kale , potong² | 4 butir Bakso , iris² | 4 butir Bawang merah , iris² | 3 siung Bawang putih , iris² | secukupnya Lada bubuk & Kaldu rasa jamur | secukupnya Garam & Gula",6,"Rebus kale hingga setengah matang, angkat & tiriskan. || Tumis bawang merah & putih hingga harum & layu. Masukkan bakso, tumis sebentar. || Masukkan kale rebus. Tuang sedikit air lalu bumbui dengan garam, gula, kaldu rasa jamur & lada bubuk. Jangan lupa tes rasa ya. Angkat & sajikan.",3,30 menit,,Pujani Handayani,Bogor,https://cookpad.com/id/resep/16704423
376,Tumis Wortel Sawi Putih Pentol Bakso,bakso,Kalau suami ditanya ingin makan sayuran apa pasti dia bingung karena dia paling ga suka dengan sayuran. Cuman wortel merupakan salah satu sayuran favorit suami. Jadi kalau masak sayur kebanyakan selalu ada sayur wortel. Untuk itu saya bikin tumis wortel...,1 buah wortel ukuran sedang | 12 lembar sawi putih | 4 biji pentol bakso sapi bisa kurang atau lebih sesuai selera | 1 butir telur ayam | 1/2 buah bawang Bombay bisa skip jika tidak ada | 4 siung bawang putih | 6 buah bawang merah | 3 biji cabe keriting bisa kurang atau lebih sesuai selera | 8 biji cabe rawit bisa kurang atau lebih sesuai selera | 1 buah tomat ukuran besar | 1 sendok makan saus tiram | 1/4 sendok teh lada bubuk | 1/4 sendok teh garam halus bisa kurang atau lebih sesuai selera | 1/4 sendok teh kaldu bubuk bisa kurang atau lebih sesuai selera | 1/4 sendok makan gula pasir bisa kurang atau lebih sesuai selera | 2 sendok makan minyak goreng | 150 ml air putih bersih,17,"Siapkan semua bahan yang dibutuhkan seperti sawi putih, wortel, pentol bakso, bawang Bombay, tomat, telur, bawang merah, bawang putih, cabe rawit dan cabe merah keriting. Pisahkan sawi putih dari bonggolnya lalu cuci bersih kemudian potong-potong sesuai selera dan sisihkan. || Kupas wortel lalu cuci bersih kemudian potong-potong sesuai selera dan sisihkan. Kupas bawang Bombay, bawang merah dan bawang putih lalu cuci bersih bersama dengan tomat, cabe rawit dan cabe merah keriting. Iris tipis bawang merah dan bawang putih lalu sisihkan. Potong-potong sesuai selara bawang bombay, pentol bakso, tomat, cabe rawit dan cabe merah keriting lalu sisihkan. Panaskan minyak goreng dengan api sedang lalu pecahkan telur dan masukkan dalam wajan penggorengan lalu orak arik telur. || Masukkan potongan bawang Bombay dan irisan bawang putih lalu tumis hingga layu dan harum. Tambahkan irisan bawang merah tumis kembali hingga setengah matang. Kemudian masukkan potongan pentol bakso, cabe rawit dan cabe merah keriting lalu tumis kembali hingga semua bahan matang. || Setelah itu masukkan air putih dan aduk-aduk lalu tunggu hingga air mendidih. Masukkan potongan wortel, aduk-aduk kembali dan bumbui dengan garam, gula, saus tiram, kaldu bubuk, lada bubuk lalu aduk-aduk kembali hingga bumbu tercampur rata kemudian biarkan masak hingga wortel setengah matang.. || Setelah itu masukkan potongan sawi putih, aduk-aduk kembali. Terakhir masukkan potongan buah tomat lalu aduk-aduk kembali dan tes rasa apakah sudah pas rasanya seperti yang diinginkan. Jika dirasa sudah pas dan sayuran sudah matang sesuai selara matikan api kompor dan angkat lalu pindahkan pada piring saji. || Tumis Wortel Sawi Putih Pentol Bakso siap untuk disajikan dan dinikmati sebagai pendamping nasi putih dan lauk sesuai selera, selamat mencoba 🙏🥰.",6,25 menit,4 porsi,Ririn Kristanti,Sampit Kalimantan Tengah - Surabaya,https://cookpad.com/id/resep/25058504
377,Soup Labu Wortel & Bakso Ikan,bakso,"Tadi pagi seperti biasa bikin masakan yang simple,kubikin sup aja dengan bahan-bahannya sayur labu air,wortel ditambahin dengan bakso ikan biar makin enak👍Pasti keluargaku doyam nih karena seger &amp; pas di saat hari hujan di pagi ini👌 #MasakSayurYuk...","1 buah labu air sekitar 500 gr,kupas kulitnya,potong kotak kecil | 2 buah wortel ,kupas kulitnya,potong kotak kecil | 30 buah bakso ikan kecil Bakso Ikan dkk nya homemade | 3 siung bawang putih ,cincang kasar | 1 siung bawang merah , iris tipis | 1 sdm minyak ikan | 1 sdm saus tiram | 1 sdm garam | 2 sdm gula | 1 sdt merica bubuk | 1/2 sdt kaldu jamur | 600 ml air putih | 2 sdm irisan daun bawang | minyak secukupnya untuk menumis | Taburan : | secukupnya bawang goreng",16,"Panaskan minyak,tumis bawang merah & bawang putih sampai harum,masukkan bakso ikan & wortel. || Masukkan juga labu air nya.Aduk sebentar,lalu tuang air putih. || Tambahkan garam,gula,merica,kaldu jamur,saus tiram & kecap ikan.Aduk merata.Biarkan sampai sayuran matang.Setelah matang,masukkan irisan daun bawang. || Aduk sebentar.Biarkan sampai mendidih.Matikan kompor,ambil mangkok,tuang.Taburi dengan bawang merah goreng,hmmm siap disajikan👍",4,35 menit,,Agustina Erlinda,"Pontianak, Kalimantan Barat, Indonesia",https://cookpad.com/id/resep/25724159
378,190. Sop Buncis Wortel Kentang Bakso,bakso,"Sop Buncis Wortel Kentang Bakso. Salah satu menu yg sering dimasak karena anak² suka yaitu sayur sop. Sayur apapun kalau dimasak sop biasanya cepat habisnya, terutama karena kakak yg kedua kalau makan suka yg banyak kuahnya. #CookpadCommunity_Yogyakarta #SelaluIstimewa...","1 genggam buncis | 2 buah wortel | 2 buah kentang | 10 butir bakso | 2 batang daun seledri | 500 ml air | Secukupnya gula, garam, Masako | Bumbu halus: | 2 butir kemiri | 2 siung bawang merah besar | 2 siung bawang putih",11,"Siapkan bahan, haluskan bumbu lalu tumis sampai harum || Tambahkan air, tunggu sampai mendidih (sambil menunggu potong² sayuran) kemudian masukkan kentang. || Setelah kentang mulai empuk, masukkan semua sayuran, aduk rata masak sampai mendidih kembali (cek kematangan sayuran). Kalau sayuran sudah matang bumbui gula, garam, & Masako kemudian aduk rata & koreksi rasa. Sesaat sebelum dimatikan masukkan daun seledri || Pindahkan ke mangkok, beri taburan bawang goreng. Sajikan bersama sambal & lauk kesukaan.",4,30 menit,,Sartiah Thya,Yogyakarta,https://cookpad.com/id/resep/25725619
379,Sayur Sop Bakso Ekonomis Ala Silvana And Paija,bakso,Yuhuu kebersamaan bersama teman kapan lagi kalo lulus takut g bisa.. lopyu bestehh🌼💙 #CookpadApron2026 #MasakSayurYuk,1 Wortel dikupas dan potong | 1/2 kubis dipotong-potong | 1 tangkai daun bawang dipotong-potong | 5 bakso dibelah 4 | 2 kentang dikupas dan potong kecil-kecil | 50 ml Minyak goreng | 600 ml Air | Bumbu | 2 Bawang putih | 3 Bawang merah | 1 sdt Ladaku | 1 sdt gula pasir | 1 sdt Garam | secukupnya Penyedap,14,"Siapkan bahan-bahan. Haluskan bumbu seperti bawang merah dan bawang putih. Lalu tumis hingga harum. Lalu tambahkan air || Masukkan semua bahan sayur dan bakso. Lalu garam, penyedap, gula pasir dan ladaku. Aduk tunggu hingga matang sempurna. || Voila sayur sop bakso siap disantap ala Silvana dan Paija trabas siap dimakan..",3,50 menit,,Fayza Amalia,Kuningan,https://cookpad.com/id/resep/25725429
380,Sop Oyong Wortel Bakso,bakso,gara gara masak ini bocil jd semangat makannya🥹 resep praktis tinggal cemplang cemplung nikmat😍 #CookpadApron2026 #MasakSayurYuk #CookpadCommunity_Batam,5 siung bawang putih | 6 pcs bakso | 1 buah oyong ukuran besar | 1 buah wortel | 1/2 keping soun | 1/2 sdt lada | Secukupnya minyak goreng | Secukupnya garam | Secukupnya kaldu bubuk | Secukupnya daun seledri | Secukupnya bawang goreng,11,"Iris bawang putih dan tumis di minyak panas hingga harum dan kecoklatan. Tambahkan air masak hingga mendidih. || Masukkan sayur wortel & oyong. Masak selama 2 menit. || Masukkan bakso dan soun. Tambahkan lada, garam, kaldu bubuk, koreksi rasa. Sajikan dengan taburan daun seledri & bawang putih.",3,30 menit,,Riza Juniarti,Batam,https://cookpad.com/id/resep/25664957
