No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
1,Nasgor Udang,nasi goreng,Mei26,1 porsi nasi | 1 sdm mentega | Secukupnya garam.kaldu.merica.kecap manis | 2 ekor udang | 1/2 sdm bumbu merah kasar Bumbu merah kasar | Pelengkap telur asin.udang goreng,6,Kupas udang dan cincang sampe halus || Lelehkan mentega masukan bumbu merah Jika sudah harum masukan udang cincang Oseng-oseng hingga berubah warna || Lanjut masukan nasi.garam.kaldu.merica.kecap Aduk rata Tes rasa || Terakhir masukan daun bawang Aduk rata lagi Dan nasgor siap dinikmati 🤤🤤🤤,4,,1 porsi,Ani Brilian,Tangerang Selatan,https://cookpad.com/id/resep/24378359
2,Nasi Goreng Telur,nasi goreng,Nasi goreng adalah menu favorit untuk breakfast di resto hotel. Kitapun bisa membuat sendiri di rumah dengan rasa yang tidak kalah lezat dengan masakan resto. #CookpadApron2026 #MenuAlaResto,2 porsi Nasi putih | 1 batang daun bawang | 1 buah telur | 1 bungkus bawang putih bubuk | 1 sdt kecap asin | 1 sdt minyak wijen | Secukupnya margarin | Secukupnya garam dan merica | Secukupnya penyedap | Minyak secukupnya untuk menumis,10,"Campurkan bubuk bawang putih, merica dan penyedap dalam satu wadah kemudian sisihkan. || Potong daun bawang. Siapkan wajan dan beri minyak secukupnya. Tumis telur dan daun bawang sampai matang. || Masukkan nasi dan campuran bumbu di step 1. || Aduk hingga rata. Masukkan minyak wijen dan kecap asin, aduk kembali sampai rata. || Masukkan margarin secukupnya, aduk kemudian tes rasa. Tambahkan telur mata sapi sebagai pelengkap.",5,15 menit,2 porsi,ardiasti_ratna,"semarang, jawa tengah",https://cookpad.com/id/resep/25722591
3,Nasi Goreng Tomyum Ala Fe,nasi goreng,"Ceritanya gara2 makan nasgor tomyum yang enak banget jadi pengen bikin sendiri dirumah, nanya apa bumbu tomyumnya ternyata bumbu sup tomyum import dari Thailand &amp; nemu di setiabudi supermarket si bumbu tomyum yang enak sekali itu. Fe kirain bumbu tomyum itu...",300 gr nasi kemarin | 2 siung bawang putih geprek cincang | 1/4 siung bawang bombay iris2 | 1/4 batang sereh geprek | 2 lembar daun jeruk iris2 | 100 gr ayam fillet iris kecil | 5 buah udang kupas | 2 sdm pasta tomyum | 5 buah bakso ikan | 1 lembar daun bawang | 50 gr taoge / daun sawi (sesuai selera) | 1 sdm saus tiram | 1/2 sdt gula opsional | 1 sdt kecap ikan Thailand,14,"Tumis bawang putih, bawang bombay, sereh, daun jeruk hingga harum. Masukkan bumbu tomyum instant. Aduk rata. || Masukkan ayam & udang. Beri saus tiram & kecap ikan. Aduk hingga matang. Masukkan bakso ikan & daun bawang. Aduk rata. || Masukkan nasi. Aduk rata. Tambahkan kaldu bubuk sesuai selera. Cek rasa. Masukkan taoge. Aduk sebentar. || Sajikan hangat. Jika suka bisa disajikan bersama kuah tomyum.",4,1 jam,2 porsi,CIA Febri,Bandung,https://cookpad.com/id/resep/25026799
4,Nasi Goreng Ala Solaria,nasi goreng,Dalam rangka memperingati hari Kartini di sekolah anak kemarin diadakan lomba masak nasi goreng kebetulan sy perwakilan kelas anak sy trs cek2 resep Nemu punya chef Devina Hermawan langsung aja eksekusi Alhamdulillah dapat juara harapan 3 walaupun belum dapat juara...,"2 porsi nasi | 2 telur ayam | 4 bakso ikan , potong | 50 gr ayam , potong dadu | Bumbu halus | 1 batang daun bawang | 6 ekor udang , kupas | 2 siung bawang putih | 3 siung bawang merah | 1 cabai merah | 1 sdt ebi | Bumbu pelengkap | 1/2 sdm kecap asin | 2 sdm kecap ikan | 1 sdm kecap manis | 1/2 sdt merica | 1 sdm saus tiram | 1/2 sdm margarin | Penyedap",19,"Siapkan bahan || Tumis bumbu halus hingga harum || Setelah harum masukkan nasi lalu aduk hingga rata, kemudian masukkan telur, bakso ikan dan udang yg sudah di tumis sebelumnya || Masukkan bumbu pelengkap, aduk kembali lalu masukkan cabe merah, cabe rawit dan daun bawang yg di iris serong aduk hingga tercampur rata. || Koreksi rasa jika sudah enak sajikan. Dg pendamping lainnya. Selamat mencoba,",5,30 menit,2 porsi,Vita Safitri,Pekanbaru,https://cookpad.com/id/resep/25690667
5,Nasgor Jadul,nasi goreng,Enak simpel deh🤤🤤,1 sdm mentega | 1 butir telur | Secukupnya garam.kaldu.merica | 1 porsi nasi | 1 siung baput | 2 bh rawit setan,6,"Ulek halus baput dan rawit || Lalu tumis hingga harum.pecahkan telur orak-arik, lanjut masukan nasi garam.kaldu dan merica || Aduk rata.tes rasa || Jadi deh 🤤🤤🤤",4,,1 porsi,Ani Brilian,Tangerang Selatan,https://cookpad.com/id/resep/24508393
6,Nasi Goreng Simple🧅,nasi goreng,"Nasi goreng ini biasanya dibuat dari nasi sisa di rumah, biar tidak terbuang tapi tetap jadi masakan yang enak. Dengan tambahan sayur dan bumbu sederhana, nasi sisa bisa berubah jadi menu yang praktis dan mengenyangkan.","1 piring nasi sisa (lebih enak nasi dingin) | 1 siung bawang putih | 1 siung bawang merah | 2 buah cabai atau sesuai selera | potong kecil Wortel secukupnya, | iris Sawi putih secukupnya, | secukupnya Kecap manis | secukupnya Penyedap | secukupnya Garam | secukupnya Minyak untuk menumis",10,"Panaskan minyak dengan api sedang. || Masukkan irisan bawang putih, bawang merah, dan cabai, lalu tumis hingga harum. || Masukkan irisan wortel dan sawi putih aduk hingga layu. || Masukkan kecap manis, garam, merica, dan penyedap. || Tambahkan nasi, aduk hingga tercampur rata. || Tambahkan seledri, aduk hingga semua tercampur. || Masak hingga nasi agak kering dan bumbu meresap. || Koreksi rasa, lalu sajikan.",8,20 menit,,fani_cookingday,"Kulon Progo, Yogyakarta",https://cookpad.com/id/resep/25733555
7,Nasi Goreng Podo Moro (Hong Kong Recipe),nasi goreng,"Menu sarapan mudah, murah, rasa luar biasa",2 mangkok sedang nasi | 3 butir bakso ikan | 2 butir bakso sapi | 1 butir telur | 1 gr jagung yang sudah dipipil | 1 batang daun bawang | 2 siung bawang merah | 3 siung bawang putih,8,"Potong bakso ikan dan bakso sapi sesuai selera || Goreng telur orak arik sisihkan || Cacah halus bawang merah dan bawang putih sisihkan. Potong daun bawang tipis2 || Rebus sebentar jagung sekitar 1-2 menit lalu tiriskan || Panaskan wajan dengan sedikit minyak tumis bawang merah dan bawang putih hingga harum dengan menggunakan api cenderung kecil supaya benar2 matang dan tidak langu || Kemudian masukkan nasi aduk2 sebentar, lalu masukkan bakso ikan, telur dan jagung, lalu tambahkan sejumput kaldu bubuk jamur/ayam, 2sdm kecap asin, 1sdm saos tiram. Aduk2 sebentar sampai bumbu tercampur rata, jangan lupa untuk di tes rasa. Sekiranya cukup taburkan daun bawang aduk sebentar, angkat dan siap disajikan.",6,15 menit,,Septian Wulan,Lumajang JAWA TIMUR,https://cookpad.com/id/resep/25724882
8,Nasi Goreng Hongkong Simpel,nasi goreng,"#Semangcook_MenuResto #CookpadApron2026 #MenuAlaResto #SemangcookHokyaHokye26 #CookpadCommunity_Semarang Hampir terlupa kirim resep... jam 22.44 baru mulai ngetik. Hehehehehe... Semangat!!! Bikin resep yang cepat dan dengan bahan yang ada dirumah. Selesai masak,...",250 g Nasi | 50 g Ayam filet potong kecil | 1 butir telur | 2 siung Bawang putih | 15 g Bawang bombay | 1 batang Daun bawang | Secukupnya Minyak goreng | 1 sdm Saus tiram | 1 sdt Kaldu bubuk | 1/4 sdt Garam,10,"Siapkan bahan terlebih dahulu, kocok lepas telur. Iris bombay, bawang putih dan daun bawang. || Panaskan minyak, tumis ayam dan orak arik telur. || Masukkan bombay, bawang putih dan daun bawang tumis hingga harum. || Matikan api, masukkan nasi serta saus tiram, kaldu bubuk dan garam. Aduk rata. Kemudian nyalakan api kembali. || Setelah tercampur rata, cek rasa kemudian sajikan.",5,10 menit,,Cecilia Priska,Ambarawa,https://cookpad.com/id/resep/25724149
9,Nasi Goreng Ala Resto,nasi goreng,#MenuAlaResto #CookpadApron2026,1 piring nasi | 1 potong ayam goreng | 1 sdm margarine | 1 lembar daun bawang (iris) | secukupnya kaldu bubuk | secukupnya garam | secukupnya merica | 1/2 sdt kecap ikan,8,"Siapkan semua bahan-bahan yang dibutuhkan. panaskan wajan dan beri margarine. ceplok telor dan orak-arik. || Setelah di orak-arik masukkan potongan ayam dan nasinya || Beri kecap ikan, garam, kaldu bubuk, merica. aduk kemudian beri daun bawang. || Setelah diaduk rata cicipi rasa jika dirasa sudah pas matikan kompor dan siap disajikan.",4,15 menit,,Yovela Gracia Davino Una,,https://cookpad.com/id/resep/25723898
10,Nasi Goreng Hongkong,nasi goreng,"Source: @yoestmarine Assalamu'alaikum baru sempat nulis resepnya, hihiiii kebetulan ada nasi dan berbagai printilannya... Cuss deh bikin nasi goreng hongkong 🥰🥰 enak bgt #CookpadApron2026 #MenuAlaResto #KayuTanganApril2026 #CookpadCommunity_Malang #Dee_s","1 piring penuh nasi | 3 biji bakso | 2 buah sosis | 1 butir telur | Secukupnya mix sayuran (aku punya stock sayuran mix wortel , jagung , buncis dan kacang polong ) | 1 batang bawang prei | 3 siung bawang putih | 4 siung bawang merah | 5 biji cabe rawit (optional) | Seasoning | Secukupnya garam | Secukupnya kaldu bubuk | Secukupnya merica bubuk | Secukupnya minyak wijen | Secukupnya kecap asin | Secukupnya saus tiram | Secukupnya kecap manis",17,"Siapkan semua bahan, nasi, mix sayuran, telur, bakso dan sosis. || Haluskan bawang putih, bawang merah, cabe rawit dan garam lalu tumis hingga matang, masukkan mix sayuran. Tumis hingga sayur lunak. || Masukkan bakso dan sosis, aduk merata lalu masukkan telur, orak arik sebentar. || Masukkan nasi, beri bumbu seasoning lalu aduk merata. Jangan lupa test rasa. || Terakhir masukkan bawang prei, aduk kembali. || Nasi goreng hongkong siap disajikan dengan taburan bawang goreng dan topping sesuai selera 🥰",6,30 menit,,Dee's,Blitar,https://cookpad.com/id/resep/25723993
11,Nasi Goreng Ala Resto Tanpa Kecap,nasi goreng,"Menu ala resto kali ini ku buat nasi goreng sayur, tanpa sentuhan kecap.. Menu yg asing utk anak2 krn ini tanpa kecap guys.. Tp ternyata mereka worth it bgt loh.. Katanya enak, lgsg ludes aja.. #CookpadCommunity_Yogyakarta #SelaluIstimewa #Kopijos...","2 mangkok kecil Nasi putih | 1/2 bonggol Jagung pipil | 1/2 buah Wortel potong dadu | 1 batang Daun bawang , iris | 3 siung Bawang merah | 1 butir Kemiri | 1/2 sdt Garam | 1/4 sdt Micin ASATU Rose Brand | 1 sdm Margarin Rose Brand | 1 butir Telur",10,"Haluskan bawang merah, kemiri, dan sedikit garam. Panaskan margarin, tumis bumbu halus hingga harum. || Masukkan telur, orak-arik hingga matang. || Tambahkan wortel dan jagung, tumis hingga sayuran layu. || Masukkan nasi, aduk rata dengan bumbu dan sayuran. || Sebelum diangkat, masukkan daun bawang iris, aduk sebentar. || Angkat dan sajikan hangat.",6,30 menit,2 porsi,Dapur NAAFA,"Wates, Kulonprogo, Jawa tengah",https://cookpad.com/id/resep/25721434
12,❣️nasi Goreng Short Plate,nasi goreng,Bismillah.. semoga bisa punya resto sendiri. Aamiin #Pais_MenuModifResto #MenuAlaResto #CookpadApron2026 #CookpadCommunity_Bandung Haturnuhun 💐,"1 mangkok nasi | secukupnya, Slice beef | 1 butir telur | 1 sdm saos tiram | 1 sdm Bawang putih bubuk | Sejumput merica bubuk | secukupnya Garam",7,"Panaskan minyak, masukan telur, setelah matang masuk slice beef, dilanjut nasi. Aduk rata || Masukan bumbu2 semuanya aduk rata || Aduk rata sampai keluar aroma smoky || Plating kayak di resto2.",4,15 menit,,MbakNok,Bandung,https://cookpad.com/id/resep/25723081
13,Nasi Goreng Spesial,nasi goreng,"Nasi goreng ala resto disajikan dengan tampilan elegan dan cita rasa yang lebih kaya, memadukan nasi yang pulen dengan bumbu rempah pilihan yang ditumis hingga harum menggoda. Setiap butir nasi terbalut sempurna oleh resep spesial yang gurih dan sedikit manis,...",secukupnya Ayam | 1 helai Daun bawang | secukupnya Ati ampela | 3 potong Timun | sejumput Garam | 1/2 sdt Kecap asin | sejumput Lada bubuk | sejumput Micin | secukupnya Kecap manis | Bumbu nasi goreng | 25 gr Bawang putih | 50 gr Bawang merah | 25 gr Kemiri | 25 gr Ebi kering | 200 ml Minyak goreng | 1/2 sdt Garam | 1 sdt Lada bubuk | 1 sdt Micin,18,"Siapkan semua bahan²nya jika ingin pedas siapkan sambal sesuai selera || Setelah meracik dan menyiapkan bumbu nasi goreng yang telah matang, nyalakan kompor dg api besar || Panaskan minyak sedikit saja, lalu tuangkan telur yang sudah dikocok lepas diamkan 5 detik baru di tumis, setelah itu disusun pertopingan tumis kembali. Kemudian tuangkan bumbu nasi goreng yang tadi dibuat 1 ½ sdm beserta sambal lalu tumis cepat setelah itu masukan daun bawang yang telah dipotong tadi || Kemudian masukan nasi perak atau nasi kemarin ya... Lalu tumis kembali sampai tercampur dgn bumbu dan toping lalu masukan kecap asin dan kecap manis secukupnya lalu tumis kembali sembari ditekan dengan api besar tumis sampai benar2 merata, dan jangan lupa sebelum itu masukan perbumbuan bubuknya setelah selesai menumis koreksi rasa dahulu. Setelah itu matikan kompor dan sajikan",4,5 menit,1 porsi,Eca Ayu,"Semarang, Jawa Tengah",https://cookpad.com/id/resep/25722884
14,Nasi Goreng,nasi goreng,#MenuAlaResto #CookpadApron2026,2 piring nasi | 3 siung bawang merah | 1 siung bawang putih | 3 cabe merah | 2 sendok makan saus dan kecap | 1 sendok makan penyedap rasa,6,"Siapkan semua bahan, potong kecil kecil bawang merah, bawang putih dan cabe merah || Siapkan minyak di atas penggorengan dan tunggu sampai panas. Setelah panas masukkan potongan tadi dan goreng sampai wangi || Setelah wangi masukkan nasi dan semua bumbu tadi lalu aduk aduk hingga rata || Setelah merata, angkat dan sajikan, selamat menikmati✨",4,35 menit,,hifa_ajaaa,,https://cookpad.com/id/resep/25722852
15,Nasi Goreng Ala Solaria,nasi goreng,"Bismillah Setiap ada nasi sisa, lebih kebanyakan di goreng dari pada makan nasi dingin... Masaknya mudah dan enak sih... Masakan rumahan ala resto #CookpadApron2026 #MenuAlaResto #CookpadCommunity_Sumut #Horas_ArsikMenuAlaResto",3 porsi Nasi dingin | 2 butir telur | 5 bh sosis iris | 15 bh udang | 3 siung bawang merah iris | 2 siung bawang putih iris | 2 bh cabe merah iris | Secukupnya kecap manis | Secukupnya saus tiram | Secukupnya garam | 1/4 sdt kaldu bubuk | 1 batang daun bawang iris | 1 batang daun seledri iris | Secukupnya minyak goreng,14,"Siapkan semua bahan, masukkan minyak goreng secukupnya dalam teflon, tumis duo. Bawang, hingga harum, geser ke samping, masukkan udang, aduk aduk, sosis yang sudah diiris. Geser juga ke samping. || Masukkan telur lalu orak orik, masukkan cabe merah. Aduk hingga menyatu semua. || Beri garam, saus tiram, kecap manis, kaldu bubuk, aduk rata, masukkan nasi yang sudah dihancurkan. Tambahkan daun bawang dan seledri || Aduk hingga tercampur rata, dan bumbu sudah meresap. Hingga keluar asap. Tes rasa.. sajikan... Pelengkap kerupuk dan timun. Atau sesuai selera",4,20 menit,3 porsi,Eka Muliana,Banda aceh,https://cookpad.com/id/resep/25722169
16,Nasi Goreng Kampung,nasi goreng,"Bandung selalu punya cara membawa cerita. Saat berjalan menyusuri Jalan Braga tak lupa singgah untuk membeli makan. Di sana, saya memesan nasi goreng kampung, menu sederhana dengan sentuhan masakan ala resto yang elegan. Hidangan ini langsung mencuri perhatian karena...",1 piring nasi putih | 3 siung bawang merah | 2 siung bawang putih | 1 sdm kecap manis | 1 sdm jus buah bit | 1/4 sdt garam | secukupnya penyedap rasa | 50 gr ayam potong dadu | 1 kuntum sawi | Pelengkap | 1 butir telur | 1 mangkok kecil kerupuk udang,12,"Cuci bersih ayam potong dadu. Chopper bawang merah dan putih. Potong sawi sesuai selera || Panaskan minyak, tumis bumbu halus hingga harum. Masukkan ayam tumis-tumis hingga berubah warna. || Masukkan nasi, sawi, jus buah bit, kecap, garam dan penyedap rasa aduk-aduk hingga bumbu tercampur merata. || Angkat dan sajikan dalam wadah dengan pelengkap telur ceplok dan kerupuk udang.",4,10 menit,1 porsi,Feby Istari,Bontang,https://cookpad.com/id/resep/25716635
17,Nasi Goreng Original,nasi goreng,Nasi goreng simpel yang biasanya cocok untuk sarapan pagi. Kalau di resto masuk di menu nasi goreng biasa bukan yang banuak toppingnya hehe #CookpadApron2026 #MenuAlaResto,1 piring (sekitar 200g) Nasi putih | 5 siung Bawang merah | 2 siung Bawang putih | 2 buah Cabe merah | 1 butir Telur | secukupnya Minyak goreng | secukupnya Kecap manis | secukupnya Kecap asin | secukupnya Saus tiram | secukupnya Garam,10,"Iris bawang merah, bawang putih, dan cabe merah. || Panaskan minyak di wajan, tumis irisan bumbu hingga harum. || Masukkan telur, orak-arik hingga matang. || Tambahkan nasi putih, aduk rata. || Masukkan kecap manis, kecap asin, saus tiram sesuai selera, aduk rata. || Tambahkan garam, cek rasa, sajikan hangat.",6,,2 porsi,Felyta Putri,,https://cookpad.com/id/resep/25721856
18,Nasi Goreng Mawut Ayam,nasi goreng,Bismillah #CookpadApron2026 #MenuAlaResto,"1 piring nasi putih dingin | 1 keping mie kering , rebus hingga matang | 3 siung bawang putih cincang kasar | 5 siung bawang merah cincang kasar | 5 buah cabe rawit (opsional) | Secukupnya garam | 1/2 sdt kaldu jamur | 1 sdm saus tiram | 1 sdt minyak wijen | 2 sdm minyak goreng | 150 gr ayam fillet digoreng suir",11,"Tumis bawang putih dan bawang merah hingga layu, wangi. || Masukkan nasi putih dingin, dan mie yang sudah direbus. Aduk rata. || Beri garam, saus tiram, kaldu jamur, dan minyak wijen. Aduk rata. Tambahkan ayam suir dan potongan cabe rawit jika ingin pedas. Aduk rata hingga benar-benar tanak. Angkat, hidangkan dengan tambahan toping sesuai selera.",3,30 menit,,Cicik Ary,Situbondo,https://cookpad.com/id/resep/25721696
19,Nasi Goreng Solaria,nasi goreng,"Bismillah Nasi goreng enak ini, anak2 suka banget. #CookpadCommunity_Yogyakarta #SelaluIstimewa #Kopijos #Kopijos_MenuAlaResto #MenuAlaResto #CookpadApron2026 #Kopijos_April2026","400 g Nasi putih | 1/2 buah ( iris tipis ) Bawang bombay | 2 siung ( iris tipis ) Bawang putih | 2 sdm Kecap manis | 1 sdm Kecap asin | 1 sdm Saus tiram | 1/4 sdt Merica bubuk | 1/4 sdt Garam | 2 sdm Minyak goreng | 2 butir Telur | 100 g (opsional) Ayam suwir | 1 batang (iris, opsional) Daun bawang",12,"Siapkan semua bahan bahan, iris tipis duo bawang dan daun bawang. || Panaskan minyak, tumis telur dan sosis sampai matang, angkat tiriskan || Panaskan minyak kembali, tumis duo bawang sampai harum, || Masukkan telur dan sosis, disusul nasi, aduk rata, masukkan semua bumbu, aduk rata, cek rasa || Sajikan dengan acar timun dan sambal atau sesuai selera",5,1jam,2 porsi,Nunu Ulfah,Yogyakarta,https://cookpad.com/id/resep/25717479
20,Nasi Goreng Cabe Ijo,nasi goreng,"Nasi goreng cabe ijo, salah satu menu ala resto. Untuk bahan dan bumbu aku menyesuaikan dengan yang ada di rumah, walaupun tidak sama persis dengan bahan dan bumbu resto tapi rasanya tetap oke. Pedas gurihnya mantap 😁. Aku recook resepnya chef @devinahermawan....","2 porsi Nasi Putih Dingin | 1 butir Telur | Secukupnya Minyak Goreng | Bumbu Halus : | 9 buah Cabai Hijau Keriting | 2 siung Bawang Merah | 1 siung Bawang Putih | 1 butir Kemiri | 1 buah Tomat (me : skip) | 4 gr Terasi Sangrai | Bumbu Rajang : | 2 buah Cabai Hijau , cincang (me : cabai hijau keriting) | 30 gr Cabai Rawit Hijau , cincang (me : skip) | 1 batang Daun Bawang , iris | 3 lembar Daun Jeruk (tambahan saya) | 1 sdm Saus Tiram | 1/2 sdt Gula Pasir | 1/2 sdt Lada Bubuk | 3/4 sdt Kaldu Jamur | 3/4 sdt Garam | Pelengkap : | 1 buah Sosis Goreng, iris | Secukupnya Kerupuk | 1 buah Ayam Goreng bag. Paha Atas (resep asli pakai daging sapi ) | Secukupnya Bawang Goreng (me : skip)",25,"Haluskan bumbu halus. || Siapkan bahan pelengkap dan bumbu Rajang, di antaranya goreng sosis dan daging ayam, lalu iris-iris sesuai selera. Cincang juga cabai hijau keriting dan daun bawang. || Tumis bumbu halus hingga harum, sisihkan ke pinggir sedikit. || Masih dalam ketel yang sama. Masak telur sambil di orak-arik hingga matang, lalu masukkan nasi. Aduk-aduk sampai tercampur rata. || Tambahkan saus tiram, gula pasir, kaldu jamur, dan garam. Aduk sebentar. || Lalu masukkan irisan cabai hijau keriting, daun jeruk (petek-petek), ayam goreng dan daun bawang. || Jangan lupa koreksi rasa. Angkat dan sajikan.",7,30 Menit,2 porsi,Iis Kartika,Kota Bandung,https://cookpad.com/id/resep/25718785
21,Nasi Goreng Cabe Ijo,nasi goreng,"Assalamualaikum.. Bismillah.. Alhamdulillah..semoga Allah SWT senantiasa memberikan kita kesehatan, melimpahkan berkahNya dan melancarkan semua aktivitas kita dan untuk yang sedang sakit semoga diberi kesabaran dan segera sehat..Aamiin..🤲🏻 Alhamdulillah menu ala resto...","2 porsi nasi | 1 butir telur | Secukupnya ayam goreng suwir | 1 sdt gula pasir | 3/4 sdt garam | 1 sdm saus tiram | 1/4 sdt lada bubuk | 2 bh cabe ijo besar, cincang | 3 bh cabe rawit ijo , iris2 | 1 btg daun bawang , iris | Bumbu halus | 5 siung bawang putih | 5 siung bawang merah | 1 bh kemiri | 1 bh tomat | 2 bh cabe ijo besar | 4 gr terasi | Tambahan | 1 bh cabe ijo besar, iris2 | Taburan | Bawang merah goreng",21,"Siapkan nasi dan bumbu.. || Blender bumbu halus, tumis hingga minyaknya keluar lalu sisihkan ke pinggir kemudian masukkan telur dan aduk-aduk.. || Kemudian tambahkan cabai rawit hijau dan cabai hijau cincang masak lagi hingga wangi.. || Masukkan daun bawang dan ayam suwir.. Tambahkan nasi lalu bumbui dengan saus tiram, gula, garam, dan lada bubuk kemudian aduk hingga rata.. Masukkan irisan cabai hijau, aduk dan masak dengan api besar.. || Sajikan nasi goreng cabai hijau dengan taburan bawang goreng di atasnya.",5,15 menit,2 porsi,Daniar,"Tanah Bumbu, Kalimantan Selatan",https://cookpad.com/id/resep/25713974
22,Nasi Goreng Solaria,nasi goreng,"Nasi Goreng yang jadi favorit KLO pergi ke mall🤭. KLO ngga ke mall, mending bikin sendiri yuk. #Semangcook_MenuResto #CookpadApron2026 #MenuAlaResto #SemangcookHokyaHokye26 #CookpadCommunity_Semarang","1 piring nasi putih | 1 butir telur | 3 buah bakso , iris tipis | 50 gr ayam , potong dadu | 1 buah cabe merah , iris-iris | 4 buah cabe rawit merah, iris-iris | 1 batang daun bawang bagian hijau, iris-iris | 2 sdm bumbu dasar nasi goreng Bumbu Dasar Nasi Goreng | 1/2 sdt garam | 1/2 sdt gula pasir | 1/2 sdt penyedap | 1-2 Sdm kecap manis | secukupnya minyak untuk menumis",13,"Panaskan minyak goreng, masukkan telur dan orak-arik. tambahkan ayam dan bakso, masak sampai ayam berubah warna. tambahkan nasi. || Masukkan bumbu dasar nasi goreng, garam, penyedap, gula pasir dan kecap manis. Aduk rata. || Tambahkan cabe dan daun bawang. Besarkan api, lalu aduk sampai semua tercampur rata. Nasi Goreng Solaria siap dinikmati.",3,15 menit,,adhesti,Semarang,https://cookpad.com/id/resep/25719064
23,Bumbu Dasar Nasi Goreng,nasi goreng,"Bumbu dasar yang bisa digunakan untuk membuat nasi goreng, kwetiau siram, bihun goreng ataupun masakan Chinese lainnya. Bikin masak jadi sat set. #SemangcookHokyaHokye26 #CookpadCommunity_Semarang",40 gr bawang putih | 35 gr bawang merah | 2 batang daun bawang bagian putih | 5 ekor udang kupas | 50 ml minyak goreng | 1/4 sdt merica bubuk | 2 sdm saus tiram | 1 Sdm kecap ikan | 1 Sdm kecap asin | 1/2 sdm minyak wijen | 1/2 sdm margarin,11,"Haluskan bawang putih, bawang merah, udang dan daun bawang. || Panaskan minyak goreng, masukkan bumbu halus, aduk rata. Masukkan merica bubuk tumis dengan api sedang cenderung kecil sampai harum. || Masukkan saus tiram, kecap ikan, kecap asin dan minyak wijen. Masak sampai bumbu matang. || Tambahkan margarin, aduk rata. Dinginkan dan masukkan ke dalam wadah kedap udara.",4,30 menit,6 porsi,adhesti,Semarang,https://cookpad.com/id/resep/25718970
24,Nasi Goreng Ala Solaria,nasi goreng,Resep 2 #MenuAlaResto Bismillah... Nasi goreng gak ada yang enggak suka. Dimanapun kapanpun selalu jadi pilihan. Nah kali ini saya mau bikin nasi goreng ala solaria. Duh beneran ini enak banget. Untuk protein bisa disesuaikan selera yaa. Yukk cobain......,"3 porsi nasi | 1 butir telur | 125 gram udang | 6 buah bakso , iris | 2 potong ayam goreng, suwir | 2 sdm bawang merah dan bawang putih cincang halus | 2 sdm margarin | 2 batang daun bawang | 3 buah cabai rawit , iris | Seasoning : | 1 sdt garam | 1/2 sdt lada | 1 sdm saus tiram | 1 sdm kecap ikan | 1 sdm minyak wijen | 2 sdm kecap manis | Pelengkap : | Secukupnya mentimun | Secukupnya kerupuk udang",19,"Panaskan margarin, tumis bawang cincang sampai wangi || Tambahkan telur, bikin orak-arik. Masukkan udang, tumis sampai berubah warna || Masukkan bakso dan ayam, aduk rata. Masukkan nasi, aduk merata. Tambahkan seasoning || Masukkan daun bawang, aduk rata baru masukkan irisan cabai. masak dengan api besar. koreksi rasa || Nasi goreng ala solaria siap dinikmati. tambahkan kerupuk dan mentimun",5,30 menit,3 porsi,Lia Ariani,Kota Malang,https://cookpad.com/id/resep/25715808
25,Nasi Goreng Teri Krispi,nasi goreng,"Resep kali ini super simpel, buat yang tiba2 laper di rumah dan bingung mau makan apa bisa dicoba resep ini nih.. Semoga bermanfaat😚",secukupnya Nasi putih | secukupnya Ayam suwir | 2 siung Bawang merah | 2 siung Bawang putih | secukupnya Bumbu nasi goreng merk Bamboe | 1/2 sendok Garam | 1 sendok Bumbu Knorr | segenggam Teri siap goreng | 1 sdm Minyak goreng,9,"Haluskan bawang merah dan bawang putih. Lalu, tumis dengan 1 sdm minyak goreng || Masukkan ayam suwir dan nasi lalu aduk dengan bumbu yang sudah ditumis hingga merata || Tambahkan bumbu nasi goreng siap saji,garam dan Knorr.Kemudian aduk lagi sampai bumbu meresap || Sekiranya sudah merata, angkat nasi goreng dan jangan lupa taruh di mangkok dulu untuk membentuk nasi goreng supaya terlihat rapi, lalu taruh di atas piring || Jangan lupa goreng teri yang sudah dicuci, setelah berwarna keemasan angkat lalu hias di sekitar nasi goreng. || Nasi goreng teri krispi siap untuk disajikan😍",6,40 menit,,faneta,,https://cookpad.com/id/resep/25715692
