Perusahaan,Negara_Asal
PERUSAHAAN DAGANG DAN INDUSTRI KALIROTO,Indonesia
PERUSAHAAN DAGANG DAN INDUSTRIE ITRASAL,Indonesia
PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA,Indonesia
PFIZER INDONESIA,Indonesia
PHAPROS Tbk,Indonesia
PHARMA HEALTH CARE,Indonesia
PHARMA LABORATORIES,Indonesia
PHAROS INDONESIA,Indonesia
PIM PHARMACEUTICALS,Indonesia
PRATAPA NIRMALA,Indonesia
PRIMA MEDIKA LABORATORIES,Indonesia
PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia
PYRIDAM FARMA TBK,Indonesia
QUANTUM LABORATORIS INTERNASIONAL,Indonesia
RAMA EMERALD MULTI SUKSES,Indonesia
RATANSHA PURNAMA ABADI,Indonesia
ROHTO LABORATORIES INDONESIA,Indonesia
ROI SURYA PRIMA FARMA,Indonesia
SAKA FARMA LABORATORIES,Indonesia
SAMATOR PHARMACEUTICAL,Indonesia
SAMCO FARMA,Indonesia
SAMIE SAHARI,Indonesia
SAMPHARINDO PERDANA,Indonesia
SAMPHARINDO RETROVIRAL INDONESIA,Indonesia
SANBE FARMA,Indonesia
SANDAI FARMA,Indonesia
SANO GRATIA FARMA,Indonesia
SATORIA ANEKA INDUSTRI,Indonesia
SATRIA BUMIKERTA - AMIDA FARMA,Indonesia
SEJAHTERA LESTARI FARMA,Indonesia
SIMEX PHARMACEUTICAL INDONESIA,Indonesia
SMITHKLINE BEECHAM PHARMACEUTICALS,Indonesia
SOHO INDUSTRI PHARMASI,Indonesia
SOLAS LANGGENG SEJAHTERA,Indonesia
STERLING PRODUCTS INDONESIA,Indonesia
SUMBER TANUSHU PHARMACEUTICAL INDUSTRI,Indonesia
SUNTHI SEPURI,Indonesia
SUPRA FERBINDO FARMA,Indonesia
SURYA DERMATO MEDICA LABORATORIES,Indonesia
SYDNA FARMA,Indonesia
TAISHO PHARMACEUTICAL INDONESIA,Indonesia
TAKEDA INDONESIA,Indonesia
TANABE INDONESIA,Indonesia
TEMPO SCAN INDUSTRY,Indonesia
TEMPO SCAN PACIFIC Tbk,Indonesia
TRIFA RAYA LABORATORIES,Indonesia
TRIMAN,Indonesia
TRIYASA NAGAMAS FARMA,Indonesia
TROPICA MAS PHARMACEUTICALS,Indonesia
TUNGGAL IDAMAN ABDI,Indonesia
ULTRA SAKTI,Indonesia
UNITED FARMATIC INDONESIA,Indonesia
UNIVERSAL PHARM. INDUSTRIES,Indonesia
UNIVERSAL PHARMACEUTICAL INDUSTRIES,Indonesia
VARIA SEKATA PHARMACEUTICAL LABORATORIES,Indonesia
WIDATRA BHAKTI,Indonesia
WIGO HEALTH INDONESIA,Indonesia
XENXO FARMA,Indonesia
YARINDO FARMATAMA,Indonesia
YEKATRIA FARMA,Indonesia
YSP INDUSTRIES INDONESIA,Indonesia
