Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Jumlah_Varian_Kemasan
DBI1381601737A2,DUPHALAC,LACTULOSE SOLUTION,"SIRUP; 3,335 G","DUS, 10 STICK @ 15 ML",ABBOTT INDONESIA - Indonesia,ABBOTT INDONESIA,Indonesia,2024-06-04,2026-06-04,Berlaku,Obat Bebas - Impor,Obat Bebas,Impor,1,2.0,False,1
DBL0007101404B1,EMTURNAS FORTE,PARACETAMOL,KAPLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET ;; DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPTAB",PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA - Indonesia,PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA,Indonesia,2025-06-20,2030-04-14,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.8,False,2
DBL0008502563A1,LAMBUCID,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE,TABLET KUNYAH,"DUS, 20 STRIP @ 10 TABLET KUNYAH",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2024-10-21,2029-09-06,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,4.9,False,1
DBL0008502633A1,LAMBUCID,MAGNESIUM HYDROXIDE. SIMETHICONE EMULSION 30. DRIED ALUMINIUM HYDROXIDE GEL,SUSPENSI; 300 MG /167 MG /300 mg,"DUS,1 BOTOL PLASTIK @ 60 ML ;; DUS,1  BOTOL PLASTIK @ 100 ML",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2020-02-01,2025-02-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,True,2
DBL0016109809A1,XEPAZYM,PANCREATIN | SIMETHICONE,KAPLET SALUT SELAPUT,"DUS, 3 STRIP @ 10 KAPLET SALUT SELAPUT",METISKA FARMA  - Indonesia,METISKA FARMA,Indonesia,2025-07-23,2030-07-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,2,5.0,False,1
DBL0022231404A1,POLDAN MIG,ACETYLSALICYLIC ACID | CAFFEINE ANHYDROUS | PARACETAMOL,KAPLET,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 KAPLET",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2025-08-01,2030-08-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,5.0,False,1
DBL0022231409A1,POLDAN MIG,PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE,KAPLET SALUT SELAPUT; 400 MG /250 MG /65 MG,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 KAPLET SALUT SELAPUT",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2023-11-07,2025-08-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,1.8,True,1
DBL0026006304A1,TROPIGESIC,PARACETAMOL,KAPLET; 500 mg,BOTOL PLASTIK @ 100 KAPLET,TROPICA MAS PHARMACEUTICALS - Indonesia,TROPICA MAS PHARMACEUTICALS,Indonesia,2024-07-01,2028-02-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,3.6,False,1
DBL0026006304A2,TROPIGESIC,PARACETAMOL,KAPLET; 500 MG,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET",TROPICA MAS PHARMACEUTICALS - Indonesia,TROPICA MAS PHARMACEUTICALS,Indonesia,2024-07-01,2027-11-17,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,3.4,False,1
DBL0033201817A1,PROBION,THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,TABLET SALUT SELAPUT; 100 MG /200 MG /200 MCG,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET SALUT SELAPUT",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2024-06-21,2029-06-18,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0033201910A1,TAGYT,,TABLET,"DUS, 5 AMPLOP @ 1 BLISTER @ 10 TABLET",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2025-01-02,2029-04-16,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,0,4.3,False,1
DBL0103603937A1,NUTRANAK,GUAIFENESIN,SIRUP,"DUS, 1 BOTOL @ 100 ML",CANDRA NUSANTARA JAYA - Indonesia,CANDRA NUSANTARA JAYA,Indonesia,2026-04-27,2031-04-27,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0104127210A1,STOMACAIN,KOMBINASI-ALUMINUM HYDROXIDE - MAGNESIUM CARBONATE - CALCIUM CARBONATE COPRECIPITATE,TABLET,"DUS, 10 STRIP @ 10 TABLET",COMBIPHAR - Indonesia,COMBIPHAR,Indonesia,2025-04-24,2029-12-25,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.7,False,1
DBL0105510758A1,DUMIN,PARACETAMOL,ENEMA,"DUS, 5 ALUBAG @ 1 RECTAL TUBE @ 2,5 ML",ACTAVIS INDONESIA - Indonesia,ACTAVIS INDONESIA,Indonesia,2025-04-03,2030-04-03,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0105510758B1,DUMIN,PARACETAMOL,ENEMA,"DUS, 5 ALUBAG @ 1 RECTAL TUBE @ 4 ML",ACTAVIS INDONESIA - Indonesia,ACTAVIS INDONESIA,Indonesia,2025-05-31,2030-05-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0109213410A1,AKITA,ATTAPULGITE | PECTIN,TABLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET",IFARS PHARMACEUTICAL LABORATORIES - Indonesia,IFARS PHARMACEUTICAL LABORATORIES,Indonesia,2025-03-08,2029-12-10,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,2,4.8,False,1
DBL0110801404B2,ITAMOL FORTE,PARACETAMOL,KAPLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET",BERLICO MULIA FARMA - Indonesia,BERLICO MULIA FARMA,Indonesia,2025-08-29,2030-02-14,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.5,False,1
DBL0110803717A1,LICOBION,CYANOCOBALAMIN | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,TABLET SALUT SELAPUT,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET SALUT SELAPUT",BERLICO MULIA FARMA - Indonesia,BERLICO MULIA FARMA,Indonesia,2024-12-15,2027-12-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,3.0,False,1
DBL0110804004A1,LICOPEC,ATTAPULGITE | PECTIN,KAPLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET",BERLICO MULIA FARMA - Indonesia,BERLICO MULIA FARMA,Indonesia,2025-09-01,2030-06-22,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,2,4.8,False,1
DBL0110804163A1,BERLOSID,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE,TABLET KUNYAH,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET KUNYAH",BERLICO MULIA FARMA - Indonesia,BERLICO MULIA FARMA,Indonesia,2026-03-29,2031-03-29,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,5.0,False,1
DBL0110804233A1,BERLOSID,DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE. SIMETHICONE EMULSION 30%,SUSPENSI; 200 MG,"DUS, 1 BOTOL PLASTIK @ 60 ML",BERLICO MULIA FARMA - Indonesia,BERLICO MULIA FARMA,Indonesia,2022-04-05,2027-02-07,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.8,False,1
DBL0123402704A2,MIRASIC,PARACETAMOL,KAPLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET ;; DUS, 10 STRIP @ 10 KAPLET",SAMPHARINDO PERDANA - Indonesia,SAMPHARINDO PERDANA,Indonesia,2025-04-29,2030-04-29,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,2
DBL0124501963B1,PANADOL ANAK-ANAK,PARACETAMOL,TABLET KUNYAH; 120 MG,"1 AMPLOP @ 1 BLISTER @ 10 TABLET KUNYAH ;; DUS, 10 AMPLOP @ 1 BLISTER @ 10 TABLET KUNYAH ;; DUS, 10 CATCH COVER @ 1 BLISTER @ 10 TABLET KUNYAH",STERLING PRODUCTS INDONESIA - Indonesia,STERLING PRODUCTS INDONESIA,Indonesia,2024-10-11,2029-10-11,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,3
DBL0126006663A1,TROPIMAG,DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE. SIMETHICONE,TABLET KUNYAH; 261.44 MG /200 MG /20 MG,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET KUNYAH",TROPICA MAS PHARMACEUTICALS - Indonesia,TROPICA MAS PHARMACEUTICALS,Indonesia,2022-01-28,2027-01-28,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0127508210A1,PACETIK,,TABLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET",YEKATRIA FARMA - Indonesia,YEKATRIA FARMA,Indonesia,2024-10-31,2027-12-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,0,3.2,False,1
DBL0133203310A1,PROCET,PARACETAMOL,TABLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET ;; DUS, 10 STRIP @ 10 TABLET",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2025-06-03,2030-05-26,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,2
DBL0133203437A1,PROCET,PARACETAMOL,SIRUP,"DUS, 1 BOTOL @ 60 ML",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2025-07-21,2030-07-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.9,False,1
DBL0133203863A1,MAGTEN,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE,TABLET KUNYAH,"DUS, 10 AMPLOP @ 1 BLISTER @ 10 TABLET KUNYAH",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2025-09-12,2030-09-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,5.0,False,1
DBL0133203933A1,MAGTEN,SIMETHICONE. DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE,SUSPENSI; 50 MG /250 MG,"DUS, 1 BOTOL @ 100 ML",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2022-03-04,2027-03-04,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0133301809B1,MERSIBION 5000,CYANOCOBALAMIN | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,KAPLET SALUT SELAPUT,"DUS, 5 AMPLOP @ 1 BLISTER @ 10 KAPLET SALUT SELAPUT ;; DUS, 5 BLISTER @ 10 KAPLET SALUT SELAPUT",MERSIFARMA TIRMAKU MERCUSANA - Indonesia,MERSIFARMA TIRMAKU MERCUSANA,Indonesia,2025-02-21,2029-10-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,4.6,False,2
DBL0133402209A1,SOLANEURON,CYANOCOBALAMIN | PYRIDOXINE HYDROCHLORIDE | THIAMINE HYDROCHLORIDE,KAPLET SALUT SELAPUT,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET SALUT SELAPUT",SOLAS LANGGENG SEJAHTERA - Indonesia,SOLAS LANGGENG SEJAHTERA,Indonesia,2025-07-02,2030-07-02,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,5.0,False,1
DBL0204128063A1,MALTOFER,FERRIC HYDROXIDE POLYMALTOSE COMPLEX,TABLET KUNYAH;,"DUS, 5 AMPLOP @ 1 STRIP @ 6 TABLET KUNYAH",COMBIPHAR - Indonesia,COMBIPHAR,Indonesia,2024-03-12,2029-03-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0204128137A1,MALTOFER,FERRIC HYDROXIDE POLYMALTOSE COMPLEX,SIRUP,"DUS, 1 BOTOL @ 150 ML",COMBIPHAR - Indonesia,COMBIPHAR,Indonesia,2025-02-10,2030-02-10,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0204128263A1,MALTOFER FOL,FERRIC HYDROXIDE POLYMALTOSE COMPLEX. FOLIC ACID,TABLET KUNYAH; 357 MG /0.35 MG,"DUS, 5 AMPLOP @ 1 STRIP @ 6 TABLET KUNYAH",COMBIPHAR - Indonesia,COMBIPHAR,Indonesia,2022-07-05,2027-07-05,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0204518236A1,NAPREX,PARACETAMOL,DROPS; 60 MG,"DUS, 1 BOTOL PLASTIK @ 15 ML ;; DUS, BOTOL PLASTIK @ 15 ML",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2024-08-23,2029-08-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,2
DBL0206502337A1,ETAGESIC,PARACETAMOL,SIRUP; 120 MG,"DUS, 1 BOTOL @ 60 ML",ERRITA PHARMA - Indonesia,ERRITA PHARMA,Indonesia,2024-09-12,2027-12-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,3.3,False,1
DBL0231108036A1,GRAFADON,PARACETAMOL,DROPS,"DUS, 1 BOTOL @ 15 ML",GRAHA FARMA - Indonesia,GRAHA FARMA,Indonesia,2025-08-12,2030-07-26,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0231408104A1,BIMAGEN,CAFFEINE | PARACETAMOL,KAPLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET",LLOYD PHARMA INDONESIA - Indonesia,LLOYD PHARMA INDONESIA,Indonesia,2025-06-05,2027-12-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,2,2.6,False,1
DBL0231522045A1,Y-RINS,WITCH HAZEL,CAIRAN MATA; 13 V/V %,"DUS, 10 BOTOL PLASTIK @ 12 ML",PRATAPA NIRMALA - Indonesia,PRATAPA NIRMALA,Indonesia,2022-05-12,2027-05-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0231522045A2,Y-RINS,WITCH HAZEL,CAIRAN MATA; 13 V/V %,"DUS, 2 BOTOL PLASTIK @ 12 ML",PRATAPA NIRMALA - Indonesia,PRATAPA NIRMALA,Indonesia,2022-05-12,2027-05-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0233504710A1,PYREX,PARACETAMOL,TABLET,"DUS, 20 AMPLOP @ 1 BLISTER @ 10 TABLET ;; DUS, 20 BLISTER @ 10 TABLET",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-08-07,2029-08-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.0,False,2
DBL0233504837A1,PYREX,PARACETAMOL,SIRUP,"DUS, 1 BOTOL @ 60 ML",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2021-06-29,2026-02-11,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.6,True,1
DBL0233504936A1,PYREX,PARACETAMOL,"DROPS; 60,000 MG","DUS, 1 BOTOL @ 15 ML",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2019-08-23,2024-08-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,True,1
DBL0233506323A1,PHAROLIT,DEXTROSE ANHYDRATE | POTASSIUM CHLORIDE | SODIUM CHLORIDE | SODIUM CITRATE DIHYDRATE,SERBUK,"DUS, 60 SACHET @ 4,298 G",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-04-14,2030-04-14,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,4,5.0,False,1
DBL0234000563A1,NOVAMAG,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE,TABLET KUNYAH,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET KUNYAH",NOVAPHARIN - Indonesia,NOVAPHARIN,Indonesia,2024-11-05,2028-02-13,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,3.3,False,1
DBL0234001137A1,NOVAGESIC,PARACETAMOL,SIRUP; 120 MG,"DUS, 1 BOTOL PLASTIK @ 60 ML",NOVAPHARIN - Indonesia,NOVAPHARIN,Indonesia,2022-07-24,2027-07-24,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0304128636A1,MALTOFER,FERRIC HYDROXIDE POLYMALTOSE COMPLEX,DROPS; 178.6 MG,"DUS, 1 BOTOL @ 30 ML ;; DUS, BOTOL @ 30 ML",COMBIPHAR - Indonesia,COMBIPHAR,Indonesia,2024-08-11,2029-08-11,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,2
DBL0304518633A1,NAPREX,PARACETAMOL,SUSPENSI; 250 MG,"DUS, 1 BOTOL PLASTIK @ 60 ML",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2024-08-23,2029-08-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0305033317A1,NEURODEX,KOMBINASI CYANOCOBALAMIN 1.0% IN GELATIN | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,TABLET SALUT SELAPUT,"DUS, 20 DUS @ 1 STRIP @ 10 TABLET SALUT SELAPUT ;; DUS, 20 STRIP @ 10 TABLET SALUT SELAPUT",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2025-02-26,2029-09-20,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,4.6,False,2
DBL0307114204A1,ZECANEURON,CYANOCOBALAMIN | PYRIDOXINE HYDROCHLORIDE | THIAMINE NITRATE,KAPLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET ;; DUS, 10 STRIP @ 10 KAPLET",PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA - Indonesia,PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA,Indonesia,2025-07-28,2030-04-06,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,4.7,False,2
DBL0307114317A1,ZECANEURON FORTE,CYANOCOBALAMIN | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,TABLET SALUT SELAPUT,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET SALUT SELAPUT",PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA - Indonesia,PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA,Indonesia,2025-07-21,2027-12-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,2.4,False,1
DBL0308508637A1,DAPYRIN,PARACETAMOL,SIRUP; 120 MG,"DUS, 1 BOTOL PLASTIK @ 60 ML",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2022-03-10,2027-03-10,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0309213936A1,FASIDOL,,DROPS,"DUS, 1 BOTOL @ 15 ML",IFARS PHARMACEUTICAL LABORATORIES - Indonesia,IFARS PHARMACEUTICAL LABORATORIES,Indonesia,2024-11-04,2029-03-26,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,0,4.4,False,1
DBL0309317237A1,LACTULAX (RASA COKLAT),LACTULOSE,"SIRUP; 3,335 G","DUS, 1 BOTOL @ 200 ML",IKAPHARMINDO PUTRAMAS Tbk. - Indonesia,IKAPHARMINDO PUTRAMAS Tbk.,Indonesia,2022-09-13,2027-09-13,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0327803837A1,LAXADILAC,LACTULOSE,"SIRUP; 3,335 G","DUS, 1 BOTOL PLASTIK @ 60 ML",GALENIUM PHARMASIA LABORATORIES - Indonesia,GALENIUM PHARMASIA LABORATORIES,Indonesia,2021-12-06,2026-07-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.6,False,1
DBL0331101304B1,GRAFADON FORTE,PARACETAMOL,KAPLET,"DUS, 10 CATCH COVER @ 1 BLISTER @ 10 KAPLET",GRAHA FARMA - Indonesia,GRAHA FARMA,Indonesia,2025-08-12,2030-08-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0332708709A1,RINDOBION 5000,,KAPLET SALUT SELAPUT,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET SALUT SELAPUT",YARINDO FARMATAMA - Indonesia,YARINDO FARMATAMA,Indonesia,2024-04-06,2029-03-25,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,0,5.0,False,1
DBL0333508735A1,COOLING5 (CHERRY FLAVOUR),PHENOL CRYSTAL,LARUTAN / CAIRAN,"DUS, 1 BOTOL SEMPROT @ 15 ML",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-12-21,2030-12-21,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0333508835A1,COOLING-5 (COOLMINT),PHENOL CRYSTAL,LARUTAN / CAIRAN; 14 MG,"DUS, 1 BOTOL SEMPROT @ 15 ML",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2024-11-16,2029-02-27,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.3,False,1
DBL0334001704A1,NOVAGESIC,PARACETAMOL,KAPLET,BOTOL  PLASTIK @ 100 KAPLET ;; POT PLASTIK @ 100 KAPLET,NOVAPHARIN - Indonesia,NOVAPHARIN,Indonesia,2025-09-29,2030-09-29,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,2
DBL0334001704A2,NOVAGESIC,PARACETAMOL,KAPLET; 500.00 MG,"DUS, 10 STRIP @ 10 KAPLET",NOVAPHARIN - Indonesia,NOVAPHARIN,Indonesia,2020-07-05,2025-07-05,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,True,1
DBL0407115333A1,DIANOS,KAOLIN. PECTIN,SUSPENSI; 1000 MG /40 MG,"DUS, 1 BOTOL @ 60 ML",FIRST MEDIPHARMA - Indonesia,FIRST MEDIPHARMA,Indonesia,2023-12-20,2025-08-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,1.7,True,1
DBL0408510217A1,DANEURON,THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,TABLET SALUT SELAPUT; 108.8 MG /200 MG /200 MCG,"DUS, 10 STRIP @ 10 TABLET SALUT SELAPUT",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2024-02-25,2028-05-09,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.2,False,1
DBL0408510810A1,DAPYRIN,PARACETAMOL,TABLET,"DUS, 10 BLISTER @ 10 TABLET ;; DUS, 20 STRIP @ 10 TABLET",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2025-10-01,2027-05-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,1.6,False,2
DBL0410806837A1,OBH BERLICO (RASA JERUK NIPIS),SUCCUS LIQUIRITIAE. AMMONIUM CHLORIDE,"SIRUP; 166,67 MG /100 MG","DUS, 1 BOTOL PLASTIK @ 100 ML",BERLICO MULIA FARMA - Indonesia,BERLICO MULIA FARMA,Indonesia,2021-06-29,2026-06-29,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
DBL0418818437A1,OPILAX,LACTULOSE,"SIRUP; 3,335 mg","DUS, 1 BOTOL @ 60 ML ;; DUS, 1 BOTOL @ 120 ML",OTTO PHARMACEUTICAL INDUSTRIES - Indonesia,OTTO PHARMACEUTICAL INDUSTRIES,Indonesia,2022-04-07,2027-03-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,2
DBL0422239010A1,FOLAVIT 1000 µG,FOLIC ACID,TABLET; 1 MG,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 TABLET",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2022-07-11,2027-01-31,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.6,False,1
DBL0422239748A1,FORUMEN,DOCUSATE SODIUM,TETES TELINGA,"DUS, 1 BOTOL @10 ML",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2025-10-01,2030-10-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
