Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Jumlah_Varian_Kemasan
DKI2264600144A1,LETYBO,,SERBUK INJEKSI LIOFILISASI,"DUS, 1 VIAL @ 50 UNIT",SOHO INDUSTRI PHARMASI - Indonesia,SOHO INDUSTRI PHARMASI,Indonesia,2024-03-15,2027-09-24,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,3.5,False,1
DKI2264600144B1,LETYBO,,SERBUK INJEKSI LIOFILISASI,"DUS, 1 VIAL @ 100 UNIT",SOHO INDUSTRI PHARMASI - Indonesia,SOHO INDUSTRI PHARMASI,Indonesia,2024-03-15,2027-09-24,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,3.5,False,1
DKI2264600144C1,LETYBO,,SERBUK INJEKSI LIOFILISASI,"DUS, 1 VIAL @ 200 UNIT",SOHO INDUSTRI PHARMASI - Indonesia,SOHO INDUSTRI PHARMASI,Indonesia,2024-05-22,2027-09-24,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,3.3,False,1
DKI2264700143A1,BUSCOPAN,HYOSCINE BUTYLBROMIDE,LARUTAN INJEKSI,"DUS, 10 AMPUL @ 1 ML",KALVENTIS SINERGI FARMA - Indonesia,KALVENTIS SINERGI FARMA,Indonesia,2025-12-23,2029-03-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,3.2,False,1
DKI2264800102A1,KALGESTIN,PROGESTERONE,KAPSUL LUNAK; 100 MG,"DUS, 3 BLISTER @ 10 KAPSUL LUNAK",KALBE FARMA - Indonesia,KALBE FARMA,Indonesia,2022-09-16,2027-09-16,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2264800102B1,KALGESTIN,PROGESTERONE,KAPSUL LUNAK; 200 MG,"DUS, 3 BLISTER @ 10 KAPSUL LUNAK",KALBE FARMA - Indonesia,KALBE FARMA,Indonesia,2022-09-16,2027-09-16,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2264900115A1,IYLIAN,ILAPRAZOLE,TABLET SALUT ENTERIK; 5 MG,"DUS, 1 BOTOL @ 6 TABLET SALUT ENTERIK",HARSEN LABORATORIES - Indonesia,HARSEN LABORATORIES,Indonesia,2023-03-30,2027-09-24,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.5,False,1
DKI2264900244A1,IYLIAN,ILAPRAZOLE SODIUM,SERBUK INJEKSI LIOFILISASI; 10 MG,"DUS, 1 VIAL @ 10 MG",HARSEN LABORATORIES - Indonesia,HARSEN LABORATORIES,Indonesia,2023-02-26,2027-09-24,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.6,False,1
DKI2265000144A1,ELIGARD,LEUPRORELIN ACETATE,SERBUK INJEKSI + PELARUT; 7.5 mg,"DUS, SYRINGE A (PELARUT) + SYRINGE B (LEUPRORELINE ACETATE)",MEPROFARM - Indonesia,MEPROFARM,Indonesia,2022-09-21,2026-07-05,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,3.8,False,1
DKI2265000144B1,ELIGARD,LEUPRORELIN ACETATE,SERBUK INJEKSI + PELARUT,"DUS, SYRINGE A (PELARUT) + SYRINGE B (LEUPRORELINE ACETATE)",MEPROFARM - Indonesia,MEPROFARM,Indonesia,2026-02-12,2026-07-05,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,0.4,False,1
